id,label,available,residence_label,residence_address,residence_city,residence_postal_code,sector_label,lat,lon,area_min,area_max,rent_min,rent_max,occupation_type,adapted_pmr,high_demand,low_stock,url
1858,T1,False,Combs La Ville - Ilot du Bel Air,20 - 28 rue des Brandons 77380 Combs La Ville,Combs La Ville,77380,SENART_77,48.665,2.558,17.7,26.38,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1858
1859,Andrée Chedid T1,False,ANDREE CHEDID,8 rue Romy schneider 75018 PARIS,PARIS,75018,Paris,48.888,2.361,14.0,22.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1859
1862,Poulet T1bis,False,POULET,"9, rue de poulet - 75018 Paris",Paris,75018,Paris,48.887,2.348,30.0,30.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1862
1872,Reims T1 PMR,False,REIMS,5 rue de Reims - 75013 Paris,Paris,75013,Paris,48.829,2.372,18.0,21.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1872
1873,T2,False,Evry-Dragueur,4 Allée Jean Rostand 91000 EVRY,EVRY,91000,EVRY,48.628,2.432,30.58,30.58,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1873
1880,Romy Schneider T1,False,ROMY SCHNEIDER,5 rue Romy Schneider 75018 Paris,Paris,75018,Paris,48.888,2.361,18.0,24.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1880
1881,T2 (Colocation),False,Combs La Ville - Ilot du Bel Air,20 - 28 rue des Brandons 77380 Combs La Ville,Combs La Ville,77380,SENART_77,48.665,2.558,17.05,17.575,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1881
1890,Romy Schneider T1 PMR,False,ROMY SCHNEIDER,5 rue Romy Schneider 75018 Paris,Paris,75018,Paris,48.888,2.361,19.0,24.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1890
1897,Parks T1,False,ROSA PARKS,173 bd Macdonald 75019 Paris,Paris,75019,Paris,48.899,2.377,18.0,29.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1897
1904,Des Haies T1,False,RUE DES HAIES,72/74 rue des haies 75020 Paris,Paris,75020,Paris,48.855,2.403,16.0,24.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1904
1909,T1,False,Champs sur Marne ENSAVT,24 Boulevard Newton 77420 CHAMPS SUR MARNE,CHAMPS SUR MARNE,77420,MARNE-LA-VALLEE_77,48.839,2.587,17.48,25.48,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1909
1911,T2,False,Champs sur Marne ENSAVT,24 Boulevard Newton 77420 CHAMPS SUR MARNE,CHAMPS SUR MARNE,77420,MARNE-LA-VALLEE_77,48.839,2.587,46.81,46.87,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1911
1912,Auriol - T5,False,CLAUDE LALET,148/150 Bd Auriol 75013 Paris,Paris,75013,Paris,48.833,2.36,79.0,79.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1912
1914,T4,False,Champs sur Marne ENSAVT,24 Boulevard Newton 77420 CHAMPS SUR MARNE,CHAMPS SUR MARNE,77420,MARNE-LA-VALLEE_77,48.839,2.587,85.27,85.83,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1914
1915,Thionville T1,False,THIONVILLE,26 - 26 bis rue de Thionville - 75019 PARIS,PARIS,75019,Paris,48.889,2.384,20.0,27.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1915
1917,T1b,False,Boissy Saint Leger,4D Boulevard de la Gare 94470 Boissy Saint Leger,Boissy Saint Leger,94470,CRETEIL,48.753,2.506,17.61,17.89,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1917
1919,Auriol - T6,False,CLAUDE LALET,148/150 Bd Auriol 75013 Paris,Paris,75013,Paris,48.833,2.36,92.0,92.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1919
1922,TOMBE ISSOIRE T1,False,TOMBE ISSOIRE,9 Rue de la tombe issoire 75014 Paris,Paris,75014,Paris,48.833,2.336,17.0,22.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1922
1925,T1 Colocation,False,HDB-Bagneux,2 rue Abraham Lincoln 92220 Bagneux,Bagneux,92220,HAUTS-DE-BIEVRE,48.791,2.317,39.4,39.9,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1925
1930,TOMBE ISSOIRE T1 PMR,False,TOMBE ISSOIRE,9 Rue de la tombe issoire 75014 Paris,Paris,75014,Paris,48.833,2.336,0.0,0.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1930
1941,Vaugirard T1,False,VAUGIRARD,383 rue de Vaugirard 75015 Paris,Paris,75015,Paris,48.836,2.293,17.0,28.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1941
1946,Vaugirard T1 PMR,False,VAUGIRARD,383 rue de Vaugirard 75015 Paris,Paris,75015,Paris,48.836,2.293,0.0,0.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1946
1957,Auriol - T1,False,CLAUDE LALET,148/150 Bd Auriol 75013 Paris,Paris,75013,Paris,48.833,2.36,19.0,24.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1957
1968,ALESIA T2,False,ALESIA,80 RUE DE LA TOMBE ISSOIRE 75014 PARIS,PARIS,75014,Paris,48.828,2.333,9.0,14.9,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1968
